cars dovtt divtt dcost choose
2 10 36 33 1
1 0 3 -69.5 0
0 4 14 -41 1
0 1 0 -40.5 0
0 21 24 21 1
0 0 6 -7.5 0
0 0 2 -42.5 0
0 4 6 10 0
0 12 18 29 0
0 9.5 19 -20.5 1
0 10 12 14 0
1 11 4 5 1
0 -3 2 -53 0
1 27 25 20 0
1 -2 -4 -44.5 1
1 4 3 -40.5 1
1 1 7 -65.5 0
1 3 4 -56 1
0 -1 0 -46.5 0
1 6 -5 16 1
1 6 3 -72.5 1
1 -1 9 -75.5 1
0 10 9 30 1
2 4 14 -15 1
1 12 23 1 1
1 6 12 -55 0
1 6 7 -73.5 0
0 7 14 -37.5 0
1 13 5 -33 1
3 4 1 -16.5 1
1 15 13 -52.5 1
0 2 11 -68 0
1 11 11 -22.5 1
1 13 20 -20.5 1
2 7 12 -32.5 1
1 3 10 -53.5 1
1 2 4 -4.5 1
1 5 16 -40.5 1
1 3 0 21 1
1 12.5 28 25 1
1 10 5 -10 0
1 3 11 -49.5 0
0 -2 9 -72.5 0
0 3 0 -70.5 0
1 5 4 -34.5 1
2 10 31 22 1
1 5 25 1 0
0 -2 11 -75.5 0
3 -2 7 -71.5 1
1 1 17 -52 1
2 10 27 -9 1
1 4 14 -22.5 1
0 5 14 -70.5 0
2 9 6 -44 1
1 13 19 3 1
1 1 -1 -24 1
0 20.5 9 28 0
0 4 -1 21 0
1 7 -5 -45 0
0 0 10 -68 0
0 3 13 -53 0
1 9 7 14 1
0 10 11 28 1
0 9.5 10 -12.5 0
0 5 4 -22.5 0
0 8 5 -11 0
2 1 4 -3.5 1
1 -3 13 -69.5 1
1 -2 10 -68.5 0
2 -2 10 -68.5 1
1 -3 11 -47.5 0
2 6 5 23 1
0 0 14 -77.5 0
2 5 6 -74.5 0
1 8 19 9 1
2 9 8 -15 1
1 1 0 -2 1
0 10 4 -5.5 0
0 8 11 -5.5 0
1 17.5 21 15 1
0 9.5 8 30 0
0 5 8 -21 1
2 1 11 -32.5 1
1 6 -1 -3.5 1
1 6 3 21 1
2 1 4 -66 0
0 1 6 -44.5 0
0 7 5 8 0
0 8 10 14 0
0 6 16 -34.5 0
1 15 23 -5.5 1
0 -1 6 -41 0
0 0 5 -58.5 0
2 42 33 16 1
0 9 8 -9.5 0
1 4 6 -42.5 0
2 -3 2 -59.5 1
2 -3 12 -74.5 0
0 6 24 -51.5 0
2 20 39 11 1
1 3 11 -38.5 1
1 5 19 3.5 1
1 14 13 27 1
1 7 3 -66.5 0
2 17 13 13 1
2 12 8 26 1
1 26 40 50 1
1 18 3 19 1
4 19.5 21 38 1
0 7 10 -41 0
0 8 3 -65.5 1
1 0 4 -41 1
2 -1 2 -38.5 1
1 8 -2 -10 1
1 5 9 -35 1
1 2 5 -67.5 1
1 -2 11 -65.5 0
1 -3 8 -33 0
0 1 4 -24 0
2 -1 8 -67.5 0
1 2 8 -49 0
0 3 -1 22 0
2 5 6 -32 1
1 12.5 4 17 1
3 20.5 29 39 1
1 -3 5 -64.5 0
1 25 20 -13.5 1
0 -1 12 -85.5 0
1 20 44 37 1
1 3 12 -52 0
3 9.5 1 -1.5 1
1 -1 11 -84.5 1
1 3 12 -18.5 1
2 11 17 -55.5 1
2 7.5 3 0.5 1
2 -2 10 -86.5 1
1 5 13 -74 0
2 2 5 -72 1
4 21 24 51 1
2 6 7 -74 1
2 -2 8 -78.5 1
1 13 21 -6.5 1
1 0 7 -48 1
1 6 25 -17.5 1
0 -1 4 -5.5 0
0 -2 15 -63 1
0 21 14 48 0
1 6 20 -6 1
2 2 9 -56 1
0 5 3 -7.5 0
2 1 5 -73.5 1
1 4 11 -83.5 1
2 11 30 -17 1
1 5 10 -54.5 1
2 11 8 -50 1
1 2 8 -37 1
1 3 10 -39.5 0
0 3 2 -25 0
1 1 -5 -84.5 0
2 -1 8 -54.5 0
1 10 21 -15 1
2 6 6 -49 1
2 7 1 23 1
2 3 5 15 1
2 4 8 14 1
0 4 7 -53 0
0 2 11 -35.5 0
1 14 7 -9.5 1
2 10 5 16 1
1 10 5 16 1
2 11 29 -2 1
1 4 9 -49.5 1
1 6 16 -6.5 1
2 21.5 31 26 1
1 32 53 47 1
1 15 17 1 1
1 20 20 -39.5 1
2 38 19 0 1
1 0 10 -84.5 0
2 0 7 -40.5 1
1 15 11 0.5 1
1 10 14 -11.5 1
1 10 20 1 0
0 3 14 -48.5 0
1 2 15 -80.5 1
2 9 10 -11 1
1 6 30 -66.5 1
1 12.5 25 -45.5 0
1 7 19 -1 1
2 11 9 -11.5 1
1 19.5 10 -41.5 1
1 10.5 -1 51 1
1 5 2 -6.5 1
1 3 -2 -83.5 0
0 4 8 -38.5 0
1 4 24 -29 1
1 7 15 -40.5 0
1 9 16 -17.5 1
2 11 3 -81.5 1
2 17.5 21 42 1
2 11 6 -13.5 0
1 8 26 -7 1
1 15.5 18 20 1
0 15 28 32 1
1 10 3 -74.5 1
1 4 11 -53.5 1
1 9 6 -39 1
0 3 8 -84.5 0
2 -1 9 -82.5 1
1 17 6 -15.5 1
0 6 28 -11 0
0 12.5 30 35 0
1 0 16 -17 0
1 18 10 -56.5 1
1 1 18 -69 0
0 8 21 24 0
1 3 14 -17 0
1 17 25 9 1
0 1 4 -41.5 1
0 7 9 -81.5 0
2 9 8 -62.5 1
1 9 8 -62.5 1
0 13.5 23 48 1
1 21.5 43 49 1
1 3 23 -77 1
0 8 13 -19 0
0 13 20 -8 0
1 34 40 23 0
1 24 37 47 1
2 15 6 -55.5 0
2 4 24 -36 1
1 8 0 15 1
0 30 46 29 1
2 7 2 -27 1
1 7 11 -67.5 1
1 5 6 -31.5 0
1 2 7 -85.5 0
1 -1 7 -53.5 1
1 26.5 4 40 1
2 11 1 13 1
1 27 47 19 1
0 7 -2 23 0
1 11 7 -50 0
1 6 9 -75.5 0
1 7 4 -24 1
1 3 11 -22 0
2 27.5 6 14 1
1 17 18 -24 1
1 12 25 -42 0
1 12 25 -42 1
1 -6 6 -40.5 1
1 -6 6 -40.5 1
1 -4 6 -44 0
1 -1 -5 23 1
2 27 38 8 1
2 10 30 -19.5 1
1 8 21 -10 1
1 9 5 -0.5 1
1 4 11 -66.5 1
0 0 12 -68.5 0
2 13 -2 -58 1
2 13 36 2 1
1 44 33 17 1
2 28.5 33 24 1
1 24 7 -26 1
1 9 12 -19.5 1
2 10 15 -57.5 1
1 14 2 17 1
1 -2 5 -42.5 1
0 2 4 -17.5 0
2 7 20 -8.5 1
2 14 8 16 1
2 2 8 -44.5 1
2 5 10 -12 1
2 26 11 28 1
2 19 26 -28.5 1
4 5 16 2.5 1
1 5 8 -43.5 1
1 2 10 -55 1
1 -1 13 -71.5 0
1 8 23 26 1
1 4 4 22 1
1 3 17 -38 1
2 27.5 -2 36 1
1 15 17 -50 1
1 10 14 -57 1
1 11 16 -67.5 1
1 6 10 0 1
0 -1 2 -44 0
0 28 6 28 1
1 15 18 9 1
2 4 1 -5.5 0
1 19 13 15 1
2 3 1 -40.5 1
2 17 3 -68.5 1
2 22.5 31 11 1
2 0 4 -45.5 0
2 0 4 -45.5 1
2 3 -4 22 1
4 9 17 13 1
2 21 3 -65.5 1
1 29 24 -2 1
2 20 14 40 1
2 22.5 14 27 1
1 9 5 -23 0
2 14 31 6 1
2 10 20 -66.5 0
2 17 21 19 1
1 39 17 31 1
2 14.5 19 -14.5 1
2 24.5 11 31 1
